Iteration,Pattern,CPU Load (%),Execution Time (ms),Energy Consumed (J)
1,VisitorPattern,0.00,6.22,0.0000
1,NonVisitorPattern,0.00,2.94,0.0000
2,VisitorPattern,0.00,1.13,0.0000
2,NonVisitorPattern,0.00,1.17,0.0000
3,VisitorPattern,0.00,0.80,0.0000
3,NonVisitorPattern,0.00,0.77,0.0000
4,VisitorPattern,0.00,0.81,0.0000
4,NonVisitorPattern,0.00,0.75,0.0000
5,VisitorPattern,0.00,0.75,0.0000
5,NonVisitorPattern,0.00,0.74,0.0000
6,VisitorPattern,0.00,0.75,0.0000
6,NonVisitorPattern,0.00,0.76,0.0000
7,VisitorPattern,0.00,0.75,0.0000
7,NonVisitorPattern,0.00,0.74,0.0000
8,VisitorPattern,0.00,0.74,0.0000
8,NonVisitorPattern,0.00,0.75,0.0000
9,VisitorPattern,0.00,0.74,0.0000
9,NonVisitorPattern,0.00,0.76,0.0000
10,VisitorPattern,0.00,0.74,0.0000
10,NonVisitorPattern,0.00,0.77,0.0000
11,VisitorPattern,0.00,0.75,0.0000
11,NonVisitorPattern,0.00,0.75,0.0000
12,VisitorPattern,0.00,0.77,0.0000
12,NonVisitorPattern,0.00,0.96,0.0000
13,VisitorPattern,0.00,0.99,0.0000
13,NonVisitorPattern,0.00,0.75,0.0000
14,VisitorPattern,0.00,0.32,0.0000
14,NonVisitorPattern,0.00,0.31,0.0000
15,VisitorPattern,0.00,0.22,0.0000
15,NonVisitorPattern,0.00,0.25,0.0000
16,VisitorPattern,0.00,4.06,0.0000
16,NonVisitorPattern,0.00,0.12,0.0000
17,VisitorPattern,0.00,0.14,0.0000
17,NonVisitorPattern,0.00,0.16,0.0000
18,VisitorPattern,0.00,0.20,0.0000
18,NonVisitorPattern,0.00,0.13,0.0000
19,VisitorPattern,0.00,0.13,0.0000
19,NonVisitorPattern,0.00,0.12,0.0000
20,VisitorPattern,0.00,0.19,0.0000
20,NonVisitorPattern,0.00,0.18,0.0000
21,VisitorPattern,0.00,0.16,0.0000
21,NonVisitorPattern,0.00,0.13,0.0000
22,VisitorPattern,0.00,0.13,0.0000
22,NonVisitorPattern,0.00,0.11,0.0000
23,VisitorPattern,0.00,0.12,0.0000
23,NonVisitorPattern,0.00,0.11,0.0000
24,VisitorPattern,0.00,0.34,0.0000
24,NonVisitorPattern,0.00,0.38,0.0000
25,VisitorPattern,0.00,0.16,0.0000
25,NonVisitorPattern,0.00,0.11,0.0000
26,VisitorPattern,0.00,0.11,0.0000
26,NonVisitorPattern,0.00,0.11,0.0000
27,VisitorPattern,0.00,0.12,0.0000
27,NonVisitorPattern,0.00,0.16,0.0000
28,VisitorPattern,0.00,0.20,0.0000
28,NonVisitorPattern,0.00,0.17,0.0000
29,VisitorPattern,0.00,0.11,0.0000
29,NonVisitorPattern,0.00,0.11,0.0000
30,VisitorPattern,0.00,0.11,0.0000
30,NonVisitorPattern,0.00,0.16,0.0000
31,VisitorPattern,0.00,0.12,0.0000
31,NonVisitorPattern,0.00,0.11,0.0000
32,VisitorPattern,0.00,0.11,0.0000
32,NonVisitorPattern,0.00,0.14,0.0000
33,VisitorPattern,0.00,0.22,0.0000
33,NonVisitorPattern,0.00,0.12,0.0000
34,VisitorPattern,0.00,0.14,0.0000
34,NonVisitorPattern,0.00,0.26,0.0000
35,VisitorPattern,0.00,0.16,0.0000
35,NonVisitorPattern,0.00,0.12,0.0000
36,VisitorPattern,0.00,0.25,0.0000
36,NonVisitorPattern,0.00,0.31,0.0000
37,VisitorPattern,0.00,0.17,0.0000
37,NonVisitorPattern,0.00,0.46,0.0000
38,VisitorPattern,0.00,0.30,0.0000
38,NonVisitorPattern,0.00,0.11,0.0000
39,VisitorPattern,0.00,0.12,0.0000
39,NonVisitorPattern,0.00,0.24,0.0000
40,VisitorPattern,0.00,0.25,0.0000
40,NonVisitorPattern,0.00,0.11,0.0000
41,VisitorPattern,0.00,0.12,0.0000
41,NonVisitorPattern,0.00,0.24,0.0000
42,VisitorPattern,0.00,0.25,0.0000
42,NonVisitorPattern,0.00,0.11,0.0000
43,VisitorPattern,0.00,0.12,0.0000
43,NonVisitorPattern,0.00,0.25,0.0000
44,VisitorPattern,0.00,0.56,0.0000
44,NonVisitorPattern,0.00,0.19,0.0000
45,VisitorPattern,0.00,0.28,0.0000
45,NonVisitorPattern,0.00,0.26,0.0000
46,VisitorPattern,0.00,0.44,0.0000
46,NonVisitorPattern,0.00,0.26,0.0000
47,VisitorPattern,0.00,0.23,0.0000
47,NonVisitorPattern,0.00,0.25,0.0000
48,VisitorPattern,0.00,0.24,0.0000
48,NonVisitorPattern,0.00,0.11,0.0000
49,VisitorPattern,0.00,0.13,0.0000
49,NonVisitorPattern,0.00,0.25,0.0000
50,VisitorPattern,0.00,0.26,0.0000
50,NonVisitorPattern,0.00,0.12,0.0000
51,VisitorPattern,0.00,0.16,0.0000
51,NonVisitorPattern,0.00,0.08,0.0000
52,VisitorPattern,0.00,0.25,0.0000
52,NonVisitorPattern,0.00,0.08,0.0000
53,VisitorPattern,0.00,0.12,0.0000
53,NonVisitorPattern,0.00,0.08,0.0000
54,VisitorPattern,0.00,0.24,0.0000
54,NonVisitorPattern,0.00,0.09,0.0000
55,VisitorPattern,0.00,0.12,0.0000
55,NonVisitorPattern,0.00,0.08,0.0000
56,VisitorPattern,0.00,0.09,0.0000
56,NonVisitorPattern,0.00,0.08,0.0000
57,VisitorPattern,0.00,0.09,0.0000
57,NonVisitorPattern,0.00,0.09,0.0000
58,VisitorPattern,0.00,0.09,0.0000
58,NonVisitorPattern,0.00,0.08,0.0000
59,VisitorPattern,0.00,0.14,0.0000
59,NonVisitorPattern,0.00,0.10,0.0000
60,VisitorPattern,0.00,0.09,0.0000
60,NonVisitorPattern,0.00,0.08,0.0000
61,VisitorPattern,0.00,0.09,0.0000
61,NonVisitorPattern,0.00,0.10,0.0000
62,VisitorPattern,0.00,0.09,0.0000
62,NonVisitorPattern,0.00,0.09,0.0000
63,VisitorPattern,0.00,0.09,0.0000
63,NonVisitorPattern,0.00,0.09,0.0000
64,VisitorPattern,0.00,0.09,0.0000
64,NonVisitorPattern,0.00,0.16,0.0000
65,VisitorPattern,0.00,0.12,0.0000
65,NonVisitorPattern,0.00,0.08,0.0000
66,VisitorPattern,0.00,0.17,0.0000
66,NonVisitorPattern,0.00,0.08,0.0000
67,VisitorPattern,0.00,0.07,0.0000
67,NonVisitorPattern,0.00,0.07,0.0000
68,VisitorPattern,0.00,0.07,0.0000
68,NonVisitorPattern,0.00,0.11,0.0000
69,VisitorPattern,0.00,0.07,0.0000
69,NonVisitorPattern,0.00,0.08,0.0000
70,VisitorPattern,0.00,0.08,0.0000
70,NonVisitorPattern,0.00,0.07,0.0000
71,VisitorPattern,0.00,0.08,0.0000
71,NonVisitorPattern,0.00,0.07,0.0000
72,VisitorPattern,0.00,0.08,0.0000
72,NonVisitorPattern,0.00,0.07,0.0000
73,VisitorPattern,0.00,0.08,0.0000
73,NonVisitorPattern,0.00,0.07,0.0000
74,VisitorPattern,0.00,0.08,0.0000
74,NonVisitorPattern,0.00,0.07,0.0000
75,VisitorPattern,0.00,2.97,0.0000
75,NonVisitorPattern,0.00,0.07,0.0000
76,VisitorPattern,0.00,0.09,0.0000
76,NonVisitorPattern,0.00,0.12,0.0000
77,VisitorPattern,0.00,0.14,0.0000
77,NonVisitorPattern,0.00,0.07,0.0000
78,VisitorPattern,0.00,0.12,0.0000
78,NonVisitorPattern,0.00,0.07,0.0000
79,VisitorPattern,0.00,0.08,0.0000
79,NonVisitorPattern,0.00,0.07,0.0000
80,VisitorPattern,0.00,0.08,0.0000
80,NonVisitorPattern,0.00,0.07,0.0000
81,VisitorPattern,0.00,0.08,0.0000
81,NonVisitorPattern,0.00,0.07,0.0000
82,VisitorPattern,0.00,0.07,0.0000
82,NonVisitorPattern,0.00,0.07,0.0000
83,VisitorPattern,0.00,0.07,0.0000
83,NonVisitorPattern,0.00,0.07,0.0000
84,VisitorPattern,0.00,0.08,0.0000
84,NonVisitorPattern,0.00,0.07,0.0000
85,VisitorPattern,0.00,0.08,0.0000
85,NonVisitorPattern,0.00,0.07,0.0000
86,VisitorPattern,0.00,0.07,0.0000
86,NonVisitorPattern,0.00,0.07,0.0000
87,VisitorPattern,0.00,0.07,0.0000
87,NonVisitorPattern,0.00,0.07,0.0000
88,VisitorPattern,0.00,0.08,0.0000
88,NonVisitorPattern,0.00,0.07,0.0000
89,VisitorPattern,0.00,0.08,0.0000
89,NonVisitorPattern,0.00,0.07,0.0000
90,VisitorPattern,0.00,0.10,0.0000
90,NonVisitorPattern,0.00,0.07,0.0000
91,VisitorPattern,0.00,0.08,0.0000
