Iteration,CPU Load,CPU Time,Free Physical Memory,Total Physical Memory,Process CPU Time,System Load Average
1-VisitorPattern,0.037198079555403794,0,1956016128,16728899584,0,-1.0
1-NoVisitorPattern,0.037198079555403794,0,1775570944,16728899584,0,-1.0
2-VisitorPattern,0.037198079555403794,0,1806053376,16728899584,0,-1.0
2-NoVisitorPattern,0.037198079555403794,0,1846390784,16728899584,0,-1.0
3-VisitorPattern,0.037198079555403794,0,1862311936,16728899584,0,-1.0
3-NoVisitorPattern,0.014100590262891314,0,1863090176,16728899584,0,-1.0
4-VisitorPattern,0.014100590262891314,0,1852583936,16728899584,0,-1.0
4-NoVisitorPattern,0.014100590262891314,0,1853300736,16728899584,0,-1.0
5-VisitorPattern,0.014100590262891314,0,1852588032,16728899584,0,-1.0
5-NoVisitorPattern,0.014100590262891314,0,1852432384,16728899584,0,-1.0
6-VisitorPattern,0.014100590262891314,0,1842335744,16728899584,0,-1.0
6-NoVisitorPattern,0.017751308851520514,0,1838919680,16728899584,0,-1.0
7-VisitorPattern,0.017751308851520514,0,1839329280,16728899584,0,-1.0
7-NoVisitorPattern,0.017751308851520514,0,1840881664,16728899584,0,-1.0
8-VisitorPattern,0.017751308851520514,0,1838473216,16728899584,0,-1.0
8-NoVisitorPattern,0.017751308851520514,0,1830158336,16728899584,0,-1.0
9-VisitorPattern,0.017751308851520514,0,1823244288,16728899584,0,-1.0
9-NoVisitorPattern,0.01986097733513387,0,1812348928,16728899584,0,-1.0
10-VisitorPattern,0.01986097733513387,0,1808191488,16728899584,0,-1.0
10-NoVisitorPattern,0.01986097733513387,0,1808121856,16728899584,0,-1.0
11-VisitorPattern,0.01986097733513387,0,1806155776,16728899584,0,-1.0
11-NoVisitorPattern,0.01986097733513387,0,1806782464,16728899584,0,-1.0
12-VisitorPattern,0.01986097733513387,0,1794994176,16728899584,0,-1.0
12-NoVisitorPattern,0.01986097733513387,0,1795133440,16728899584,0,-1.0
13-VisitorPattern,0.019370001997124686,0,1795932160,16728899584,0,-1.0
13-NoVisitorPattern,0.019370001997124686,0,1790291968,16728899584,0,-1.0
14-VisitorPattern,0.019370001997124686,0,1790111744,16728899584,0,-1.0
14-NoVisitorPattern,0.019370001997124686,0,1790058496,16728899584,0,-1.0
15-VisitorPattern,0.019370001997124686,0,1790058496,16728899584,0,-1.0
15-NoVisitorPattern,0.019370001997124686,0,1790001152,16728899584,0,-1.0
16-VisitorPattern,0.019370001997124686,0,1789939712,16728899584,0,-1.0
16-NoVisitorPattern,0.019370001997124686,0,1789931520,16728899584,0,-1.0
17-VisitorPattern,0.01748890869554137,0,1789837312,16728899584,0,-1.0
17-NoVisitorPattern,0.01748890869554137,0,1791488000,16728899584,0,-1.0
18-VisitorPattern,0.01748890869554137,0,1791381504,16728899584,0,-1.0
18-NoVisitorPattern,0.01748890869554137,0,1791307776,16728899584,0,-1.0
19-VisitorPattern,0.01748890869554137,0,1791315968,16728899584,0,-1.0
19-NoVisitorPattern,0.01748890869554137,0,1782771712,16728899584,0,-1.0
20-VisitorPattern,0.01748890869554137,0,1782767616,16728899584,0,-1.0
20-NoVisitorPattern,0.01748890869554137,0,1782915072,16728899584,0,-1.0
21-VisitorPattern,0.01748890869554137,0,1783181312,16728899584,0,-1.0
21-NoVisitorPattern,0.02032402553809305,0,1783259136,16728899584,0,-1.0
22-VisitorPattern,0.02032402553809305,0,1783390208,16728899584,0,-1.0
22-NoVisitorPattern,0.02032402553809305,0,1783386112,16728899584,0,-1.0
23-VisitorPattern,0.02032402553809305,0,1783382016,16728899584,0,-1.0
23-NoVisitorPattern,0.02032402553809305,0,1783382016,16728899584,0,-1.0
24-VisitorPattern,0.02032402553809305,0,1784107008,16728899584,0,-1.0
24-NoVisitorPattern,0.02032402553809305,0,1784180736,16728899584,0,-1.0
25-VisitorPattern,0.02032402553809305,0,1784176640,16728899584,0,-1.0
25-NoVisitorPattern,0.02032402553809305,0,1784713216,16728899584,0,-1.0
26-VisitorPattern,0.02032402553809305,0,1784668160,16728899584,0,-1.0
26-NoVisitorPattern,0.01735286508894688,0,1784426496,16728899584,0,-1.0
27-VisitorPattern,0.01735286508894688,0,1784299520,16728899584,0,-1.0
27-NoVisitorPattern,0.01735286508894688,0,1784299520,16728899584,0,-1.0
28-VisitorPattern,0.01735286508894688,0,1784299520,16728899584,0,-1.0
28-NoVisitorPattern,0.01735286508894688,0,1784315904,16728899584,0,-1.0
29-VisitorPattern,0.01735286508894688,0,1775693824,16728899584,0,-1.0
29-NoVisitorPattern,0.01735286508894688,0,1775726592,16728899584,0,-1.0
30-VisitorPattern,0.01735286508894688,0,1775710208,16728899584,0,-1.0
30-NoVisitorPattern,0.01735286508894688,0,1775734784,16728899584,0,-1.0
31-VisitorPattern,0.01735286508894688,0,1775824896,16728899584,0,-1.0
31-NoVisitorPattern,0.018781518285402872,0,1775996928,16728899584,0,-1.0
32-VisitorPattern,0.018781518285402872,0,1775472640,16728899584,0,-1.0
